Station,Latitude,Longitude,Line,Colour,Distance,Extra,,,,,,
Fairlop,51.59634,0.09125,Central,#E32017,17.09298635,,,,,,,
Farringdon,51.520086,-0.104789,Hammersmith & City,#F3A9BB,1.159251912,,,,,,,
Farringdon 2,51.52036295,-0.105126482,Metropolitation,#9B0056,1.168481112,,,,,,,
Finchley Central,51.60102,-0.1924,Northern,#000000,11.22551903,,,,,,,
Finchley Road,51.546701,-0.179867,Jubilee,#A0A5A9,5.882964754,,,,,,,
Finchley Road 2,51.546701,-0.179867,Metropolitation,#9B0056,5.882964754,,,,,,,
Finsbury Park,51.56498,-0.10543,Piccadilly,#003688,5.922324381,,,,,,,
Finsbury Park 2,51.56498,-0.10543,Victoria,#0098D4,5.922324381,,,,,,,
Fulham Broadway,51.48033,-0.19488,District,#00782A,6.529753907,,,,,,,
Gallions Reach,51.509111,0.071911,DLR,#00A4A7,12.97686588,,,,,,,
Gants Hill,51.57649,0.06637,Central,#E32017,14.47511042,,,,,,,
Gloucester Road,51.49408266,-0.17295341,Circle,#FFD300,4.449779297,,,,,,,
Gloucester Road 2,51.49408266,-0.17295341,District,#00782A,4.449779297,,,,,,,
Gloucester Road 3,51.49408266,-0.17295341,Piccadilly,#003688,4.449779297,,,,,,,
Golders Green,51.57249,-0.1941,Northern,#000000,8.638186471,,,,,,,
Goldhawk Road,51.501248,-0.226776,Circle,#FFD300,7.792331559,,,,,,,
Goldhawk Road 2,51.501248,-0.226776,Hammersmith & City,#F3A9BB,7.792331559,,,,,,,
Goodge Street,51.5206,-0.13441,Northern,#000000,1.612256495,,,,,,,
Grange Hill,51.61326,0.09258,Central,#E32017,18.2625489,,,,,,,
Great Portland Street,51.52391,-0.14397,Circle,#FFD300,2.365537369,,,,,,,
Great Portland Street 2,51.52391,-0.14397,Hammersmith & City,#F3A9BB,2.365537369,,,,,,,
Great Portland Street 3,51.52391,-0.14397,Metropolitation,#9B0056,2.365537369,,,,,,,
Green Park,51.50674,-0.14276,Jubilee,#A0A5A9,1.975361164,,,,,,,
Green Park 2,51.50674,-0.14276,Piccadilly,#003688,1.975361164,,,,,,,
Green Park 3,51.50674,-0.14276,Victoria,#0098D4,1.975361164,,,,,,,
Greenford,51.542346,-0.345903,Central,#E32017,16.28730247,,,,,,,
Greenwich,51.478016,-0.015391,DLR,#00A4A7,7.901141425,,,,,,,
Gunnersbury,51.49126844,-0.275554312,District,#00782A,11.31509532,,,,,,,
Hainault,51.60288,0.09332,Central,#E32017,17.61836649,,,,,,,
Hammersmith,51.49419075,-0.225964953,Circle,#FFD300,7.897886276,,,,,,,
Hammersmith 2,51.492328,-0.222825,District,#00782A,7.744123483,,,,,,,
Hammersmith 3,51.49419075,-0.225964953,Hammersmith & City,#F3A9BB,7.897886276,,,,,,,
Hammersmith 4,51.492328,-0.222825,Piccadilly,#003688,7.744123483,,,,,,,
Hampstead,51.55645,-0.17851,Northern,#000000,6.580067169,,,,,,,
Hanger Lane,51.53,-0.2929,Central,#E32017,12.43157833,,,,,,,
Harlesden,51.53628278,-0.257622488,Bakerloo,#B36305,10.19099064,,,,,,,
Harrow & Wealdstone,51.59205973,-0.334725352,Bakerloo,#B36305,17.57066198,,,,,,,
Harrow-on-the-Hill,51.579335,-0.337052,Metropolitation,#9B0056,17.04507046,,,,,,,
Hatton Cross,51.466988,-0.423035,Piccadilly,#003688,21.87237846,,,,,,,
Heathrow Terminal 4,51.4594777,-0.44689658,Piccadilly,#003688,23.67774321,,,,,,,
Heathrow Terminals 1-2-3,51.4712899,-0.4527438,Piccadilly,#003688,23.78220596,,,,,,,
Hendon Central,51.58346,-0.22653,Northern,#000000,11.0396748,,,,,,,
Heron Quays,51.5046489,-0.0207681,DLR,#00A4A7,6.611166932,,,,,,,
High Barnet,51.6506519,-0.194138166,Northern,#000000,16.33623806,,,,,,,
High Street Kensington,51.50034591,-0.192351664,Circle,#FFD300,5.474105394,,,,,,,
High Street Kensington 2,51.50034591,-0.192351664,District,#00782A,5.474105394,,,,,,,
Highbury & Islington 2,51.54502,-0.10752,Victoria,#0098D4,3.703252347,,,,,,,
Highgate,51.57722,-0.14553,Northern,#000000,7.53294807,,,,,,,
Hillingdon,51.55364,-0.45062,Metropolitation,#9B0056,23.633391,,,,,,,
Hillingdon 2,51.55364,-0.45062,Piccadilly,#003688,23.633391,,,,,,,
Holborn,51.51711,-0.12055,Central,#E32017,0.656797453,,,,,,,
Holborn 2,51.51711,-0.12055,Piccadilly,#003688,0.656797453,,,,,,,
Holland Park,51.50722,-0.20553,Central,#E32017,6.251140841,,,,,,,
Holloway Road,51.5529,-0.11278,Piccadilly,#003688,4.541665643,,,,,,,
Hornchurch,51.55387,0.21797,District,#00782A,23.53228342,,,,,,,
Hounslow Central,51.47129,-0.365853,Piccadilly,#003688,17.9137789,,,,,,,
Hounslow East,51.47354,-0.356,Piccadilly,#003688,17.19024431,,,,,,,
Hounslow West,51.473689,-0.386471,Piccadilly,#003688,19.23662292,,,,,,,
Hyde Park Corner,51.50313,-0.15278,Piccadilly,#003688,2.763092432,,,,,,,
Ickenham,51.56147,-0.44257,Metropolitation,#9B0056,23.27553549,,,,,,,
Ickenham 2,51.56147,-0.44257,Piccadilly,#003688,23.27553549,,,,,,,
Island Gardens,51.488001,-0.011039,DLR,#00A4A7,7.713878796,,,,,,,
Kennington,51.48823,-0.10587,Northern,#000000,2.736512025,,,,,,,
Kensal Green,51.53060655,-0.224253545,Bakerloo,#B36305,7.798130125,,,,,,,
Kensington (Olympia),51.49675,-0.20931,District,#00782A,6.710434195,,,,,,,
Kentish Town,51.55046,-0.14067,Northern,#000000,4.606795784,,,,,,,
Kenton,51.58173809,-0.316870809,Bakerloo,#B36305,15.93067091,,,,,,,
Kew Gardens,51.47725641,-0.284980014,District,#00782A,12.35290741,,,,,,,
Kilburn,51.5471715,-0.205002,Jubilee,#A0A5A9,7.315124193,,,,,,,
Kilburn Park,51.53495818,-0.193963023,Bakerloo,#B36305,5.991705346,,,,,,,
King George V,51.50202,0.06299,DLR,#00A4A7,12.40687349,,,,,,,
King's Cross St.Pancras,51.53057,-0.12399,Circle,#FFD300,2.136161838,,,,,,,
King's Cross St.Pancras 2,51.53057,-0.12399,Hammersmith & City,#F3A9BB,2.136161838,,,,,,,
King's Cross St.Pancras 3,51.53057,-0.12399,Metropolitation,#9B0056,2.136161838,,,,,,,
King's Cross St.Pancras 4,51.53057,-0.12399,Northern,#000000,2.136161838,,,,,,,
King's Cross St.Pancras 5,51.53057,-0.12399,Piccadilly,#003688,2.136161838,,,,,,,
King's Cross St.Pancras 6,51.53057,-0.12399,Victoria,#0098D4,2.136161838,,,,,,,
Kingsbury,51.58422,-0.2788,Jubilee,#A0A5A9,13.84778435,,,,,,,
Knightsbridge,51.50169,-0.1603,Piccadilly,#003688,3.3065333,,,,,,,
Ladbroke Grove,51.5173,-0.21114,Circle,#FFD300,6.640434319,,,,,,,
Ladbroke Grove 2,51.5173,-0.21114,Hammersmith & City,#F3A9BB,6.640434319,,,,,,,
Lambeth North,51.49894,-0.11216,Bakerloo,#B36305,1.481061024,,,,,,,
Lancaster Gate,51.512083,-0.175067,Central,#E32017,4.119186349,,,,,,,
Latimer Road,51.513125,-0.218428,Circle,#FFD300,7.120703478,,,,,,,
Latimer Road 2,51.513125,-0.218428,Hammersmith & City,#F3A9BB,7.120703478,,,,,,,
Leicester Square,51.51148,-0.12849,Northern,#000000,0.898546272,,,,,,,
Leicester Square 2,51.51148,-0.12849,Piccadilly,#003688,0.898546272,,,,,,,
Lewisham,51.465216,-0.013166,DLR,#00A4A7,8.798493641,,,,,,,
Leyton,51.556483,-0.005669,Central,#E32017,9.062100322,,,,,,,
Leytonstone,51.56828,0.00739,Central,#E32017,10.5507717,,,,,,,
Limehouse,51.5124366,-0.0395511,DLR,#00A4A7,5.258918704,,,,,,,
Liverpool Street,51.517675,-0.082458,Central,#E32017,2.372087264,,,,,,,
Liverpool Street 2,51.517675,-0.082458,Circle,#FFD300,2.372087264,,,,,,,
Liverpool Street 3,51.517675,-0.082458,Hammersmith & City,#F3A9BB,2.372087264,,,,,,,
Liverpool Street 4,51.517675,-0.082458,Metropolitation,#9B0056,2.372087264,,,,,,,
London Bridge,51.505353,-0.084826,Jubilee,#A0A5A9,2.254041324,,,,,,,
London Bridge 2,51.505353,-0.084826,Northern,#000000,2.254041324,,,,,,,
London City Airport,51.50319,0.04864,DLR,#00A4A7,11.40594959,,,,,,,
Loughton,51.6417,0.05583,Central,#E32017,18.65322629,,,,,,,
Maida Vale,51.52989409,-0.185888819,Bakerloo,#B36305,5.254270078,,,,,,,
Manor House,51.57038,-0.09601,Piccadilly,#003688,6.620608593,,,,,,,
Mansion House,51.51256,-0.09397,Circle,#FFD300,1.493795996,,,,,,,
Mansion House 2,51.51256,-0.09397,District,#00782A,1.493795996,,,,,,,
Marble Arch,51.513597,-0.15869195,Central,#E32017,2.990634549,,,,,,,
Marylebone,51.52266,-0.162996,Bakerloo,#B36305,3.487410234,,,,,,,
Mile End,51.525306,-0.033471,Central,#E32017,5.865740664,,,,,,,
Mile End 2,51.525306,-0.033471,District,#00782A,5.865740664,,,,,,,
Mile End 3,51.525306,-0.033471,Hammersmith & City,#F3A9BB,5.865740664,,,,,,,
Mill Hill East,51.60892,-0.20965,Northern,#000000,12.57953869,,,,,,,
Monument,51.510165,-0.085991,Circle,#FFD300,2.056298168,,,,,,,
Monument 2,51.510165,-0.085991,District,#00782A,2.056298168,,,,,,,
Moor Park,51.62970512,-0.432070848,Metropolitation,#9B0056,25.48717078,,,,,,,
Moorgate,51.51817,-0.08859,Circle,#FFD300,1.983755569,,,,,,,
Moorgate 2,51.51817,-0.08859,Hammersmith & City,#F3A9BB,1.983755569,,,,,,,
Moorgate 3,51.51817,-0.08859,Metropolitation,#9B0056,1.983755569,,,,,,,
Moorgate 4,51.51817,-0.08859,Northern,#000000,1.983755569,,,,,,,
Morden,51.40222413,-0.194599126,Northern,#000000,13.38847712,,,,,,,
Mornington Crescent,51.53427,-0.13901,Northern,#000000,2.952547466,,,,,,,
Mudchute,51.491185,-0.014595,DLR,#00A4A7,7.363997214,,,,,,,
Neasden,51.55427,-0.25042,Jubilee,#A0A5A9,10.44195895,,,,,,,
Newbury Park,51.57565,0.08927,Central,#E32017,15.82891178,,,,,,,
Nine Elms,51.480001,-0.128501,Northern,#000000,3.679380649,,,,,,,
North Acton,51.5237,-0.26019,Central,#E32017,10.09148647,,,,,,,
North Ealing,51.51807,-0.28838,Piccadilly,#003688,11.97835435,,,,,,,
North Greenwich,51.50056,0.0036,Jubilee,#A0A5A9,8.345095633,,,,,,,
North Harrow,51.58503612,-0.362595264,Metropolitation,#9B0056,18.91062315,,,,,,,
North Wembley,51.56258091,-0.304072648,Bakerloo,#B36305,14.19663603,,,,,,,
Northfields,51.499856,-0.313188,Piccadilly,#003688,13.74677912,,,,,,,
Northolt,51.548054,-0.368257,Central,#E32017,17.93294721,,,,,,,
Northwick Park,51.57850117,-0.317857023,Metropolitation,#9B0056,15.81955802,,,,,,,
Northwood,51.61098984,-0.423584422,Metropolitation,#9B0056,23.9658999,,,,,,,
Northwood Hills,51.60043795,-0.408812575,Metropolitation,#9B0056,22.52966241,,,,,,,
Notting Hill Gate,51.509028,-0.1962847,Central,#E32017,5.598060251,,,,,,,
Notting Hill Gate 2,51.509028,-0.1962847,Circle,#FFD300,5.598060251,,,,,,,
