Station,Latitude,Longitude,Line,Colour,Distance,Extra,,,,,,
Devons Road,51.522274,-0.01708,DLR,Teal,6.906516311,,,,,,,
Dollis Hill,51.5525,-0.23884,Jubilee,Grey,9.639811744,,,,,,,
Ealing Broadway,51.51482,-0.30118,Central,Red,12.8496635,,,,,,,
Ealing Broadway,51.51482,-0.30118,District,Green,12.8496635,,,,,,,
Ealing Common,51.50997,-0.28825,District,Green,11.95429194,,,,,,,
Ealing Common,51.50997,-0.28825,Piccadilly,Navy,11.95429194,,,,,,,
Earl's Court,51.491521,-0.193906,District,Green,5.886688936,,,,,,,
Earl's Court,51.491521,-0.193906,Piccadilly,Navy,5.886688936,,,,,,,
East Acton,51.51753,-0.24827,Central,Red,9.204321563,,,,,,,
East Finchley,51.58729747,-0.164956323,Northern,Black,9.033524238,,,,,,,
East Ham,51.53931,0.0526,District,Green,12.01963994,,,,,,,
East Ham,51.53931,0.0526,Hammersmith & City,Pink,12.01963994,,,,,,,
East India,51.509516,-0.002128,DLR,Teal,7.854002524,,,,,,,
East Putney,51.459015,-0.211138,District,Green,8.868286107,,,,,,,
Eastcote,51.57676,-0.39629,Metropolitation,Purple,20.70334896,,,,,,,
Eastcote,51.57676,-0.39629,Piccadilly,Navy,20.70334896,,,,,,,
Edgware,51.61385,-0.27515,Northern,Black,15.80351411,,,,,,,
Edgware Road,51.520195,-0.166986,Circle,Yellow,3.671908298,,,,,,,
Edgware Road,51.520195,-0.166986,District,Green,3.671908298,,,,,,,
Edgware Road,51.520195,-0.166986,Hammersmith & City,Pink,3.671908298,,,,,,,
Edgware Road,51.51956,-0.169068,Bakerloo,Brown,3.795688541,,,,,,,
Edmonton Green,51.624927,-0.061112,Overground,Orange,13.09856226,N,,,,,,
Elephant & Castle,51.49467,-0.10047,Bakerloo,Brown,2.200302235,,,,,,,
Elephant & Castle,51.49467,-0.10047,Northern,Black,2.200302235,,,,,,,
Elm Park,51.54969,0.19779,District,Green,22.07385521,,,,,,,
Elverson Road,51.468768,-0.016265,DLR,Teal,8.393603868,,,,,,,
Embankment,51.50717,-0.12195,Bakerloo,Brown,0.704374924,,,,,,,
Embankment,51.50717,-0.12195,Circle,Yellow,0.704374924,,,,,,,
Embankment,51.50717,-0.12195,District,Green,0.704374924,,,,,,,
Embankment,51.50717,-0.12195,Northern,Black,0.704374924,,,,,,,
Emerson Park,51.56864,0.220113,Overground,Orange,24.05017414,N,,,,,,
Enfield Town,51.652024,-0.079328,Overground,Orange,15.75965271,N,,,,,,
Epping,51.69365,0.11495,Central,Red,25.70943815,,,,,,,
