Station,Latitude,Longitude,Line,Colour,Distance,Extra,,,,,,
Earl's Court,51.491521,-0.193906,District,Green,5.886688936,,,,,,,
East Ham,51.53931,0.0526,District,Green,12.01963994,,,,,,,
East Putney,51.459015,-0.211138,District,Green,8.868286107,,,,,,,
Edgware Road,51.520195,-0.166986,District,Green,3.671908298,,,,,,,
Elm Park,51.54969,0.19779,District,Green,22.07385521,,,,,,,
Embankment,51.50717,-0.12195,District,Green,0.704374924,,,,,,,
Fulham Broadway,51.48033,-0.19488,District,Green,6.529753907,,,,,,,
Gloucester Road,51.49408266,-0.17295341,District,Green,4.449779297,,,,,,,
Gunnersbury,51.49126844,-0.275554312,District,Green,11.31509532,,,,,,,
Hammersmith,51.492328,-0.222825,District,Green,7.744123483,,,,,,,
High Street Kensington,51.50034591,-0.192351664,District,Green,5.474105394,,,,,,,
Hornchurch,51.55387,0.21797,District,Green,23.53228342,,,,,,,
Kensington (Olympia),51.49675,-0.20931,District,Green,6.710434195,,,,,,,
Kew Gardens,51.47725641,-0.284980014,District,Green,12.35290741,,,,,,,
Mansion House,51.51256,-0.09397,District,Green,1.493795996,,,,,,,
Mile End,51.525306,-0.033471,District,Green,5.865740664,,,,,,,
Monument,51.510165,-0.085991,District,Green,2.056298168,,,,,,,
Notting Hill Gate,51.509028,-0.1962847,District,Green,5.598060251,,,,,,,
Paddington,51.51518466,-0.175538808,District,Green,4.165912853,,,,,,,
Parsons Green,51.47488,-0.20205,District,Green,7.279307175,,,,,,,
Plaistow,51.53122,0.01659,District,Green,9.386122367,,,,,,,
Putney Bridge,51.46868,-0.2088141,District,Green,8.062430566,,,,,,,
Ravenscourt Park,51.49419,-0.2356,District,Green,8.544926913,,,,,,,
Richmond,51.46343247,-0.302033247,District,Green,14.00020503,,,,,,,
Sloane Square,51.49258474,-0.156090904,District,Green,3.547117025,,,,,,,
South Kensington,51.494066,-0.172791,District,Green,4.440580062,,,,,,,
Southfields,51.444941,-0.206466,District,Green,9.767407271,,,,,,,
St.James's Park,51.49971,-0.13394,District,Green,1.875332895,,,,,,,
Stamford Brook,51.494935,-0.24619,District,Green,9.241800915,,,,,,,
Stepney Green,51.521884,-0.046546,District,Green,4.896809773,,,,,,,
Temple,51.51114,-0.11341,District,Green,0.181643703,,,,,,,
Tower Hill,51.50991,-0.076813,District,Green,2.691220937,,,,,,,
Turnham Green,51.495143,-0.25406,District,Green,9.770929215,,,,,,,
Upminster,51.55925,0.25177,District,Green,25.94115203,,,,,,,
Upminster Bridge,51.55847,0.23509,District,Green,24.79439279,,,,,,,
Upney,51.53824,0.09998,District,Green,15.19119714,,,,,,,
Upton Park,51.53514,0.03373,District,Green,10.64063114,,,,,,,
Victoria,51.49662869,-0.14400853,District,Green,2.614995627,,,,,,,
West Brompton,51.48681,-0.19475,District,Green,6.161512311,,,,,,,
West Ham,51.527917,0.004141,District,Green,8.465840017,,,,,,,
